NO               ±      ∑÷       √Î     ∫¡√Î     x        y
B3-1_0049	15	43	30	924	516.750	722.250	
B3-1_0050	15	43	30	926	516.250	727.500	
B3-1_0051	15	43	30	928	516.250	732.000	
B3-1_0052	15	43	30	930	515.750	737.250	
B3-1_0053	15	43	30	932	515.250	743.250	
B3-1_0054	15	43	30	934	514.250	748.000	
B3-1_0055	15	43	30	936	514.000	753.250	
B3-1_0056	15	43	30	938	513.500	759.750	
B3-1_0057	15	43	30	940	513.250	764.750	
B3-1_0058	15	43	30	942	512.000	770.750	
B3-1_0059	15	43	30	944	511.750	776.750	
B3-1_0060	15	43	30	946	511.000	783.000	
B3-1_0061	15	43	30	948	510.000	789.250	
B3-1_0062	15	43	30	950	509.500	795.000	
B3-1_0063	15	43	30	952	508.500	800.750	
B3-1_0064	15	43	30	954	507.500	807.250	
B3-1_0065	15	43	30	956	507.000	813.000	
B3-1_0066	15	43	30	958	506.750	818.500	
B3-1_0067	15	43	30	960	505.500	825.250	
B3-1_0068	15	43	30	962	504.500	832.250	
B3-1_0069	15	43	30	964	504.250	838.250	
